games,splits,score,wins,loses,draws
10,0,60,2,6,2
20,0,20,4,12,4
30,0,25,8,17,5
40,1,-5,10,22,9
50,1,-55,12,29,10
60,1,-95,14,35,12
70,1,-100,16,39,16
80,1,-130,18,44,19
90,1,-180,19,50,22
100,1,-180,24,55,22
110,1,-155,28,58,25
120,1,-150,32,63,26
130,1,-170,35,68,28
140,1,-230,36,75,30
150,1,-275,37,82,32
160,1,-315,39,88,34
170,1,-350,41,95,35
180,1,-410,43,103,35
190,2,-440,47,110,35
200,2,-480,49,116,37
210,2,-465,53,120,39
220,2,-465,58,125,39
230,2,-425,65,128,39
240,2,-455,68,134,40
250,3,-465,73,140,40
260,3,-490,75,146,42
270,3,-480,80,150,43
280,3,-520,82,156,45
290,3,-545,83,161,49
300,4,-570,85,167,52
